Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,29.100000,30.760000,28.680000,29.940001,29.940001,15228300
2017-03-01,30.090000,31.389999,27.920000,28.660000,28.660000,11210300
2017-04-01,28.950001,33.900002,28.690001,33.470001,33.470001,10596600
2017-05-01,33.500000,37.209999,32.955002,35.770000,35.770000,11783700
2017-06-01,35.950001,37.727001,33.959999,36.060001,36.060001,19040400
2017-07-01,36.000000,37.279999,34.919998,36.759998,36.759998,8485300
2017-08-01,36.950001,37.939999,32.200001,36.250000,36.250000,9308100
2017-09-01,36.450001,39.400002,34.869999,38.630001,38.630001,10572900
2017-10-01,38.750000,41.060001,38.730000,40.959999,40.959999,10800100
2017-11-01,41.130001,42.220001,38.560001,39.970001,39.970001,11209300
2017-12-01,39.950001,43.189999,39.619999,41.950001,41.950001,9090300
2018-01-01,41.900002,45.514999,40.279999,44.970001,44.970001,10995100
2018-02-01,44.759998,45.869999,41.840000,43.160000,43.160000,12283800
2018-03-01,44.020000,47.750000,42.290001,43.020000,43.020000,44677800
2018-04-01,43.090000,44.490002,41.959999,43.000000,43.000000,22764500
2018-05-01,42.950001,43.139999,38.529999,39.759998,39.759998,28903400
2018-06-01,39.919998,40.650002,33.610001,34.700001,34.700001,23154100
2018-07-01,34.509998,36.380001,33.560001,34.590000,34.590000,24450700
2018-08-01,34.650002,35.090000,30.940001,32.660000,32.660000,36150900
2018-09-01,32.799999,33.439999,30.750000,33.099998,33.099998,16042200
2018-10-01,33.270000,33.270000,26.200001,26.870001,26.870001,31643600
2018-11-01,27.030001,32.610001,26.780001,32.060001,32.060001,30946400
2018-12-01,33.470001,33.470001,24.165001,26.389999,26.389999,25754200
2019-01-01,26.059999,30.950001,25.240000,30.340000,30.340000,23949600
2019-02-01,30.410000,33.990002,29.275000,31.790001,31.790001,15770600
2019-03-01,32.330002,33.599998,30.160000,30.850000,30.850000,22382500
2019-04-01,31.180000,33.849998,31.180000,32.040001,32.040001,16917900
2019-05-01,32.500000,32.840000,24.830000,25.420000,25.420000,39527300
2019-06-01,25.420000,31.950001,25.202999,31.820000,31.820000,45107300
2019-07-01,32.310001,33.365002,31.400000,32.700001,32.700001,24104900
2019-08-01,26.400000,35.029999,25.180000,33.770000,33.770000,65063200
